params,trades,wins,loss,wr,pf,pnl,avg_win,avg_loss
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'all'}",1949,552,1397,28.32221652129297,0.6840425026311043,-139.4416250000012,0.5468998188405761,-0.31591290264853195
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'morning'}",190,56,134,29.47368421052631,0.7121869519550035,-26.865378571428774,1.1871031887755052,-0.6965907249466945
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'power'}",139,42,97,30.215827338129497,0.8574788657687873,-4.109150000000373,0.5886360544217564,-0.29723571428571277
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'all'}",1949,552,1397,28.32221652129297,0.6840425026311043,-139.4416250000012,0.5468998188405761,-0.31591290264853195
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'morning'}",190,56,134,29.47368421052631,0.7121869519550035,-26.865378571428774,1.1871031887755052,-0.6965907249466945
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'power'}",139,42,97,30.215827338129497,0.8574788657687873,-4.109150000000373,0.5886360544217564,-0.29723571428571277
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'all'}",1949,552,1397,28.32221652129297,0.6840425026311043,-139.4416250000012,0.5468998188405761,-0.31591290264853195
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'morning'}",190,56,134,29.47368421052631,0.7121869519550035,-26.865378571428774,1.1871031887755052,-0.6965907249466945
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'power'}",139,42,97,30.215827338129497,0.8574788657687873,-4.109150000000373,0.5886360544217564,-0.29723571428571277
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'all'}",1949,552,1397,28.32221652129297,0.6840425026311043,-139.4416250000012,0.5468998188405761,-0.31591290264853195
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'morning'}",190,56,134,29.47368421052631,0.7121869519550035,-26.865378571428774,1.1871031887755052,-0.6965907249466945
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'power'}",139,42,97,30.215827338129497,0.8574788657687873,-4.109150000000373,0.5886360544217564,-0.29723571428571277
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'all'}",1827,530,1297,29.009304871373836,0.7256828579216791,-110.64731428571486,0.5522795013477058,-0.3109910948342319
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'morning'}",184,55,129,29.891304347826086,0.743814737387354,-22.8918321428574,1.208449480519475,-0.6926864617940194
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'power'}",133,40,93,30.075187969924812,0.7810250027611062,-6.10378571428593,0.5442641071428482,-0.2997241935483856
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'all'}",1827,530,1297,29.009304871373836,0.7256828579216791,-110.64731428571486,0.5522795013477058,-0.3109910948342319
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'morning'}",184,55,129,29.891304347826086,0.743814737387354,-22.8918321428574,1.208449480519475,-0.6926864617940194
