ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
AXTI,2026-02-09,bull,A,0.7,28.11,24.41,15.158,27.28,27.3,0.073,27.29,24.3856,30.9205,33.0988,2026-02-09 10:14:00,2026-02-09 15:55:00,28.0,EOD,0.7045,0.24,1,10,0.77,14
AXTI,2026-02-19,bull,A,0.7,23.8878,22.6,5.698,24.09,24.16,0.291,24.125,22.5774,26.0595,27.2202,2026-02-19 10:01:00,2026-02-19 15:55:00,24.1093,EOD,-0.0205,-0.01,0,10,2.18,1
AXTI,2026-02-23,bear,A,0.7,30.19,27.73,8.871,28.31,28.335,0.088,28.3225,30.2202,25.9504,24.5271,2026-02-23 09:48:00,2026-02-23 15:55:00,28.465,EOD,-0.1482,-0.08,0,9,1.43,48
AXTI,2026-02-26,bear,A,0.7,40.9231,38.6,6.018,38.79,38.8401,0.129,38.815,40.964,36.1288,34.5171,2026-02-26 09:54:00,2026-02-26 12:02:00,36.6583,STOP,2.149,1.0,1,9,1.82,54
AXTI,2026-02-27,bear,A,0.7,38.9571,36.41,6.996,37.56,37.58,0.053,37.57,38.9961,35.7874,34.7179,2026-02-27 09:57:00,2026-02-27 15:55:00,38.0,EOD,-0.4375,-0.31,0,9,1.13,57
AXTI,2026-03-02,bear,A,0.7,46.8299,41.44,13.007,40.5675,41.0301,1.14,40.7988,46.8767,33.2014,28.6429,2026-03-02 09:50:00,2026-03-02 15:50:00,46.8767,STOP,-6.0861,-1.0,0,9,0.53,50
AXTI,2026-03-04,bear,A,0.7,45.5,39.52,15.132,38.66,38.721,0.158,38.6905,45.5455,30.1218,24.9805,2026-03-04 09:49:00,2026-03-04 15:55:00,39.125,EOD,-0.4422,-0.06,0,9,0.83,49
AXTI,2026-03-09,bull,A,0.7,35.2855,31.55,11.84,35.35,35.56,0.594,35.455,31.5185,40.3757,43.3281,2026-03-09 09:57:00,2026-03-09 15:55:00,38.505,EOD,3.0429,0.77,1,9,1.19,57
AXTI,2026-03-12,bear,A,0.7,48.2,45.61,5.679,46.675,46.73,0.118,46.7025,48.2482,44.7704,43.6111,2026-03-12 09:52:00,2026-03-12 09:54:00,45.1475,STOP,1.5457,1.0,1,9,0.72,52
AXTI,2026-03-13,bull,A+,0.85,50.8,46.9,8.316,51.33,51.332,0.004,51.331,46.8531,56.9284,60.2868,2026-03-13 09:53:00,2026-03-13 15:55:00,49.11,EOD,-2.2313,-0.5,0,9,1.27,53
AXTI,2026-03-17,bull,A,0.7,46.8999,43.6,7.569,46.4362,46.5,0.137,46.4681,43.5564,50.1077,52.2915,2026-03-17 10:05:00,2026-03-17 15:55:00,44.39,EOD,-2.0874,-0.72,0,10,0.67,5
AXTI,2026-03-18,bull,A+,0.85,48.88,46.27,5.641,49.24,49.4901,0.508,49.365,46.2237,53.2917,55.6477,2026-03-18 09:51:00,2026-03-18 15:55:00,49.08,EOD,-0.2949,-0.09,0,9,1.53,51
