ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
HYMC,2026-02-10,bear,A,0.7,37.4999,35.85,4.602,36.29,36.41,0.331,36.35,37.5374,34.8658,33.9752,2026-02-10 09:47:00,2026-02-10 12:40:00,37.5374,STOP,-1.1947,-1.01,0,9,0.92,47
HYMC,2026-02-11,bear,A,0.7,38.6,35.55,8.579,35.0,35.33,0.943,35.165,38.6386,30.823,28.2178,2026-02-11 10:19:00,2026-02-11 15:55:00,35.87,EOD,-0.712,-0.2,0,10,0.63,19
HYMC,2026-02-17,bear,A,0.7,34.7383,32.2,7.883,31.935,32.0,0.204,31.9675,34.773,28.4606,26.3564,2026-02-17 09:50:00,2026-02-17 13:56:00,34.773,STOP,-2.8119,-1.0,0,9,1.07,50
HYMC,2026-02-20,bull,A+,0.85,45.2349,41.56,8.842,45.06,45.39,0.732,45.225,41.5184,49.8582,52.6381,2026-02-20 09:52:00,2026-02-20 15:55:00,41.17,EOD,-4.064,-1.1,0,9,1.58,52
HYMC,2026-02-23,bull,A,0.7,42.868,41.3001,3.796,42.085,42.1379,0.126,42.1115,41.2588,43.1773,43.8168,2026-02-23 10:14:00,2026-02-23 10:16:00,42.9725,STOP,0.8527,1.0,1,10,2.05,14
HYMC,2026-02-24,bull,A,0.7,41.58,39.2,6.071,41.95,41.98,0.072,41.965,39.1608,45.4703,47.5734,2026-02-24 09:55:00,2026-02-24 15:55:00,46.83,EOD,4.8566,1.73,1,9,1.33,55
HYMC,2026-02-25,bull,A,0.7,50.44,48.23,4.582,49.54,49.605,0.131,49.5725,48.1818,51.3109,52.354,2026-02-25 10:06:00,2026-02-25 14:04:00,50.9731,STOP,1.3907,1.0,1,10,1.25,6
HYMC,2026-03-02,bull,A,0.7,54.03,48.5,11.402,53.25,53.3154,0.123,53.2827,48.4515,59.3217,62.9451,2026-03-02 09:48:00,2026-03-02 15:55:00,55.58,EOD,2.2866,0.47,1,9,0.93,48
HYMC,2026-03-03,bear,A+,0.85,50.05,46.2907,8.121,46.0801,46.12,0.087,46.1,50.1,41.1001,38.1001,2026-03-03 10:17:00,2026-03-03 15:55:00,48.7,EOD,-2.6092,-0.65,0,10,1.13,17
HYMC,2026-03-13,bear,A,0.7,40.62,39.07,3.967,38.79,38.86,0.18,38.825,40.6606,36.5305,35.1538,2026-03-13 10:12:00,2026-03-13 15:55:00,38.115,EOD,0.7022,0.38,1,10,1.94,12
HYMC,2026-03-19,bear,A,0.7,34.0,30.9,10.032,32.18,32.33,0.466,32.255,34.034,30.0312,28.697,2026-03-19 09:47:00,2026-03-19 11:26:00,30.4695,STOP,1.779,1.0,1,9,1.17,47
HYMC,2026-03-20,bear,A,0.7,32.0714,30.7,4.467,31.1101,31.15,0.128,31.13,32.1035,29.9133,29.1832,2026-03-20 09:54:00,2026-03-20 15:54:00,30.1504,STOP,0.9734,1.0,1,9,2.26,54
