ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
OXY,2026-02-13,bull,A,0.7,45.86,45.27,1.303,45.9,45.925,0.054,45.9125,45.2247,46.7722,47.288,2026-02-13 10:02:00,2026-02-13 15:55:00,46.065,EOD,0.1433,0.21,1,10,1.34,2
OXY,2026-02-17,bear,A,0.7,46.7599,45.56,2.634,45.26,45.335,0.166,45.2975,46.8067,43.4111,42.2792,2026-02-17 09:53:00,2026-02-17 15:55:00,45.935,EOD,-0.6466,-0.43,0,9,0.9,53
OXY,2026-02-20,bull,A,0.7,51.87,51.18,1.348,52.0,52.02,0.038,52.01,51.1288,53.1115,53.7724,2026-02-20 10:01:00,2026-02-20 10:46:00,51.1288,STOP,-0.8916,-1.01,0,10,2.19,1
OXY,2026-02-25,bear,A,0.7,52.14,51.04,2.155,50.94,50.95,0.02,50.945,52.1921,49.3861,48.4507,2026-02-25 09:53:00,2026-02-25 15:55:00,50.92,EOD,0.0148,0.01,1,9,1.45,53
OXY,2026-02-27,bear,A,0.7,53.05,52.29,1.453,52.295,52.34,0.086,52.3175,53.103,51.3356,50.7464,2026-02-27 09:52:00,2026-02-27 15:48:00,53.103,STOP,-0.796,-1.01,0,9,0.83,52
OXY,2026-03-09,bull,A,0.7,55.2,54.08,2.071,55.25,55.33,0.145,55.29,54.0259,56.8701,57.8182,2026-03-09 10:10:00,2026-03-09 15:55:00,54.8,EOD,-0.5011,-0.4,0,10,0.54,10
OXY,2026-03-10,bull,A,0.7,53.42,52.77,1.232,53.52,53.53,0.019,53.525,52.7172,54.5347,55.1405,2026-03-10 10:03:00,2026-03-10 13:12:00,52.7172,STOP,-0.8185,-1.01,0,10,0.61,3
OXY,2026-03-12,bull,A,0.7,57.56,56.42,2.021,57.53,57.54,0.017,57.535,56.3636,58.9993,59.8778,2026-03-12 10:06:00,2026-03-12 12:32:00,58.7179,STOP,1.1714,1.0,1,10,0.93,6
OXY,2026-03-16,bull,A,0.7,57.76,56.71,1.852,57.71,57.755,0.078,57.7325,56.6533,59.0815,59.8909,2026-03-16 10:19:00,2026-03-16 15:55:00,57.355,EOD,-0.389,-0.36,0,10,0.61,19
OXY,2026-03-19,bull,A+,0.85,59.76,58.86,1.529,59.88,59.94,0.1,59.91,58.8011,61.2961,62.1277,2026-03-19 10:02:00,2026-03-19 15:55:00,59.66,EOD,-0.262,-0.24,0,10,1.98,2
