datetime,open,high,low,close,volume
2026-01-22 04:00:00,185.1,185.35,184.2,185.13,58012
2026-01-22 04:05:00,185.12,185.2,184.97,185.04,35534
2026-01-22 04:10:00,185.05,185.17,185.01,185.09,15473
2026-01-22 04:15:00,185.1,185.35,185.09,185.35,23305
2026-01-22 04:20:00,185.35,185.39,185.26,185.3,32452
2026-01-22 04:25:00,185.31,185.33,185.15,185.22,14654
2026-01-22 04:30:00,185.22,185.35,185.165,185.31,8854
2026-01-22 04:35:00,185.31,185.34,185.22,185.31,13564
2026-01-22 04:40:00,185.3,185.5,185.29,185.41,33654
2026-01-22 04:45:00,185.415,185.415,185.32,185.38,9528
2026-01-22 04:50:00,185.39,185.49,185.26,185.26,15886
2026-01-22 04:55:00,185.27,185.27,185.13,185.2,9836
2026-01-22 05:00:00,185.2,185.24,185.0,185.05,24319
2026-01-22 05:05:00,185.06,185.09,184.95,185.01,15032
2026-01-22 05:10:00,185.01,185.05,184.98,185.01,10822
2026-01-22 05:15:00,185.01,185.03,184.68,184.8,28159
2026-01-22 05:20:00,184.79,185.02,184.67,184.85,34339
2026-01-22 05:25:00,184.84,184.94,184.8,184.845,6929
2026-01-22 05:30:00,184.85,185.05,184.82,185.01,12505
2026-01-22 05:35:00,185.03,185.05,184.96,184.98,9454
2026-01-22 05:40:00,184.99,184.99,184.9,184.93,3628
2026-01-22 05:45:00,184.92,184.98,184.81,184.96,7498
2026-01-22 05:50:00,184.98,185.03,184.9,184.96,7750
2026-01-22 05:55:00,184.98,185.08,184.94,185.035,11484
2026-01-22 06:00:00,185.035,185.09,184.89,184.93,16147
2026-01-22 06:05:00,184.94,185.13,184.92,185.11,16213
2026-01-22 06:10:00,185.1,185.18,184.86,184.9,25055
2026-01-22 06:15:00,184.9,184.91,184.69,184.81,16994
2026-01-22 06:20:00,184.82,184.9,184.76,184.82,10916
2026-01-22 06:25:00,184.8,184.89,184.75,184.86,10755
2026-01-22 06:30:00,184.85,184.95,184.71,184.8,24121
2026-01-22 06:35:00,184.75,184.77,184.59,184.66,18143
2026-01-22 06:40:00,184.63,184.65,184.53,184.61,6092
2026-01-22 06:45:00,184.6,184.67,184.59,184.62,8514
2026-01-22 06:50:00,184.62,184.68,184.52,184.6,9503
2026-01-22 06:55:00,184.6,184.67,184.58,184.63,15583
2026-01-22 07:00:00,184.64,184.99,184.61,184.72,74666
2026-01-22 07:05:00,184.72,184.92,184.72,184.91,18650
2026-01-22 07:10:00,184.9,184.92,184.84,184.85,12022
2026-01-22 07:15:00,184.87,184.98,184.87,184.93,23021
2026-01-22 07:20:00,184.9,185.05,184.9,185.03,46625
2026-01-22 07:25:00,185.02,185.05,184.9,184.9,12189
2026-01-22 07:30:00,184.9,184.96,184.77,184.94,26365
2026-01-22 07:35:00,184.93,184.97,184.9,184.93,18559
2026-01-22 07:40:00,184.92,185.0,184.9,184.95,15602
2026-01-22 07:45:00,184.94,184.97,184.86,184.91,14316
2026-01-22 07:50:00,184.91,185.03,184.88,184.89,24127
2026-01-22 07:55:00,184.885,185.0,184.88,184.96,11260
2026-01-22 08:00:00,185.18,185.5,183.32,184.8,756356
2026-01-22 08:05:00,184.7716,185.2,183.32,184.73,85841
2026-01-22 08:10:00,184.71,184.7692,183.32,184.7621,53323
2026-01-22 08:15:00,184.7621,184.92,183.32,184.82,46427
2026-01-22 08:20:00,184.8221,184.87,184.77,184.82,34047
2026-01-22 08:25:00,184.79,184.939,184.72,184.81,45622
2026-01-22 08:30:00,184.81,184.9497,184.6,184.69,77382
2026-01-22 08:35:00,184.67,184.79,184.55,184.69,44284
2026-01-22 08:40:00,184.68,184.6823,184.36,184.42,82290
2026-01-22 08:45:00,184.42,188.4415,184.4,184.77,80054
2026-01-22 08:50:00,184.76,184.83,184.74,184.76,57123
2026-01-22 08:55:00,184.77,184.9,184.74,184.83,65466
2026-01-22 09:00:00,184.82,184.97,184.63,184.67,65887
2026-01-22 09:05:00,184.6799,184.68,184.48,184.58,58038
2026-01-22 09:10:00,184.57,184.74,184.57,184.72,41951
2026-01-22 09:15:00,184.72,184.92,184.69,184.87,88300
2026-01-22 09:20:00,184.88,184.92,184.72,184.81,80821
2026-01-22 09:25:00,184.82,184.99,184.6697,184.72,115283
2026-01-22 09:30:00,184.75,186.16,184.69,184.79,6771723
2026-01-22 09:35:00,184.78,185.43,184.11,185.25,4411699
2026-01-22 09:40:00,185.26,185.41,184.37,184.75,3260346
2026-01-22 09:45:00,184.7525,185.15,184.0,184.27,3709214
2026-01-22 09:50:00,184.27,185.35,184.12,185.16,3552938
2026-01-22 09:55:00,185.13,185.195,184.0,184.34,3892629
2026-01-22 10:00:00,184.34,184.6799,183.93,184.27,2331063
2026-01-22 10:05:00,184.27,184.66,184.21,184.5868,2030320
2026-01-22 10:10:00,184.59,184.94,184.3,184.3701,2155268
2026-01-22 10:15:00,184.37,184.86,184.09,184.25,1761920
2026-01-22 10:20:00,184.255,184.88,184.2,184.58,2045740
2026-01-22 10:25:00,184.585,185.18,184.47,184.87,2203452
2026-01-22 10:30:00,184.87,184.95,184.48,184.935,1733260
2026-01-22 10:35:00,184.93,185.07,184.7,184.94,2096441
2026-01-22 10:40:00,184.945,185.22,184.7,184.96,1920958
2026-01-22 10:45:00,184.965,185.405,184.84,185.09,1702005
2026-01-22 10:50:00,185.08,185.17,184.83,185.0,1150964
2026-01-22 10:55:00,185.0,185.21,184.925,185.085,1035271
2026-01-22 11:00:00,185.08,185.23,184.953,185.1,1712226
2026-01-22 11:05:00,185.115,185.28,185.025,185.095,977951
2026-01-22 11:10:00,185.0975,185.46,185.01,185.405,1620032
2026-01-22 11:15:00,185.4,185.61,185.34,185.4645,1669585
2026-01-22 11:20:00,185.46,185.675,185.43,185.67,1773733
2026-01-22 11:25:00,185.6701,185.835,185.5,185.7355,1504084
2026-01-22 11:30:00,185.734,185.81,185.63,185.655,1039126
2026-01-22 11:35:00,185.66,185.815,185.58,185.8,932653
2026-01-22 11:40:00,185.805,186.04,185.7501,185.9203,2067786
2026-01-22 11:45:00,185.92,186.17,185.8106,185.98,1608654
2026-01-22 11:50:00,185.99,186.14,185.89,185.9199,1196409
2026-01-22 11:55:00,185.91,185.91,185.5,185.5265,1544900
2026-01-22 12:00:00,185.52,185.62,185.37,185.525,1379937
2026-01-22 12:05:00,185.5263,185.61,185.13,185.1733,1480949
2026-01-22 12:10:00,185.18,185.6,185.15,185.3217,1531061
2026-01-22 12:15:00,185.33,185.33,184.9,184.94,1634629
2026-01-22 12:20:00,184.935,184.96,184.66,184.82,1555337
2026-01-22 12:25:00,184.82,185.0,184.74,184.975,1174007
2026-01-22 12:30:00,184.98,185.12,184.8,184.84,1259811
2026-01-22 12:35:00,184.8425,184.86,184.65,184.6801,984617
2026-01-22 12:40:00,184.685,184.79,184.67,184.72,817378
2026-01-22 12:45:00,184.71,184.85,184.65,184.805,979405
2026-01-22 12:50:00,184.805,184.82,184.415,184.4999,1536605
2026-01-22 12:55:00,184.5,184.61,184.45,184.56,1058829
2026-01-22 13:00:00,184.56,184.92,184.49,184.72,1507679
2026-01-22 13:05:00,184.7367,185.235,184.7,185.185,1588379
2026-01-22 13:10:00,185.184,185.226,184.8542,185.0001,1662156
2026-01-22 13:15:00,185.0058,185.1199,184.86,184.94,1097501
2026-01-22 13:20:00,184.9499,185.08,184.87,185.0,838458
2026-01-22 13:25:00,185.01,185.0198,184.72,184.7255,681492
2026-01-22 13:30:00,184.71,184.88,184.6,184.845,817541
2026-01-22 13:35:00,184.84,184.8799,184.74,184.8399,572649
2026-01-22 13:40:00,184.832,184.879,184.62,184.635,757960
2026-01-22 13:45:00,184.634,184.76,184.62,184.7,660639
2026-01-22 13:50:00,184.7,184.8,184.52,184.5542,831302
2026-01-22 13:55:00,184.5526,184.6021,184.37,184.4699,990402
2026-01-22 14:00:00,184.46,184.54,184.2806,184.48,1133636
2026-01-22 14:05:00,184.49,184.61,184.41,184.595,855069
2026-01-22 14:10:00,184.595,184.76,184.51,184.6599,789475
2026-01-22 14:15:00,184.65,184.715,184.4647,184.6799,739380
2026-01-22 14:20:00,184.67,184.7177,184.54,184.55,733437
2026-01-22 14:25:00,184.5535,184.76,184.5,184.655,813076
2026-01-22 14:30:00,184.65,184.74,184.52,184.71,929582
2026-01-22 14:35:00,184.7,184.8,184.64,184.6842,864046
2026-01-22 14:40:00,184.68,184.845,184.6502,184.69,936551
