ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
SPY,2026-02-04,bear,A,0.65,691.29,688.9907,0.334,687.4,687.83,0.063,687.615,691.9813,678.8824,672.333,2026-02-04 09:58:00,2026-02-04 15:55:00,686.13,EOD,1.3475,0.31,1,9,1.05,58
SPY,2026-02-05,bear,A,0.65,683.36,678.75,0.679,676.7,677.19,0.072,676.945,684.0434,662.7483,652.1007,2026-02-05 10:11:00,2026-02-05 15:55:00,677.42,EOD,-0.6104,-0.09,0,10,1.33,11
SPY,2026-02-06,bull,A,0.65,685.57,680.85,0.693,684.29,684.82,0.077,684.555,680.1692,693.3267,699.9055,2026-02-06 09:51:00,2026-02-06 15:55:00,691.575,EOD,6.8831,1.57,1,9,0.79,51
SPY,2026-02-09,bull,A,0.65,691.57,688.34,0.469,692.13,692.76,0.091,692.445,687.6517,702.0317,709.2217,2026-02-09 10:16:00,2026-02-09 15:55:00,694.465,EOD,1.8815,0.39,1,10,0.68,16
SPY,2026-02-10,bull,A,0.65,695.55,693.455,0.302,695.335,695.69,0.051,695.5125,692.7615,701.0144,705.1408,2026-02-10 10:06:00,2026-02-10 15:50:00,692.7615,STOP,-2.8901,-1.05,0,10,0.97,6
SPY,2026-02-17,bear,A,0.65,682.8,680.03,0.407,677.9699,678.3729,0.059,678.1714,683.4828,667.5486,659.5815,2026-02-17 09:50:00,2026-02-17 13:40:00,683.4828,STOP,-5.447,-1.03,0,9,1.62,50
SPY,2026-02-18,bull,A,0.65,685.46,682.83,0.385,686.6,686.725,0.018,686.6625,682.1472,695.6932,702.4662,2026-02-18 09:58:00,2026-02-18 15:55:00,686.97,EOD,0.1702,0.04,1,9,0.96,58
SPY,2026-02-19,bull,A,0.65,684.75,682.47,0.334,684.46,684.7,0.035,684.58,681.7875,690.1649,694.3536,2026-02-19 09:55:00,2026-02-19 13:20:00,681.7875,STOP,-2.9294,-1.05,0,9,0.95,55
SPY,2026-02-20,bull,A,0.65,685.35,681.73,0.531,685.76,686.39,0.092,686.075,681.0483,696.1285,703.6686,2026-02-20 10:01:00,2026-02-20 15:55:00,688.905,EOD,2.6928,0.54,1,10,6.53,1
SPY,2026-02-23,bear,A,0.65,690.0,687.44,0.372,686.3213,686.49,0.025,686.4056,690.69,677.8369,671.4104,2026-02-23 09:56:00,2026-02-23 15:55:00,681.2401,EOD,5.0283,1.17,1,9,0.72,56
SPY,2026-02-26,bear,A,0.65,693.3,690.9,0.347,689.29,690.2,0.132,689.745,693.9933,681.2484,674.876,2026-02-26 10:01:00,2026-02-26 15:55:00,688.9201,EOD,0.687,0.16,1,10,1.6,1
SPY,2026-02-27,bull,A,0.65,684.25,681.64,0.383,684.85,685.05,0.029,684.95,680.9584,692.9333,698.9207,2026-02-27 10:08:00,2026-02-27 15:55:00,685.41,EOD,0.323,0.08,1,10,1.37,8
SPY,2026-03-02,bull,A,0.65,682.46,678.02,0.655,683.01,683.37,0.053,683.19,677.342,694.886,703.6581,2026-03-02 09:49:00,2026-03-02 15:55:00,687.01,EOD,3.6834,0.63,1,9,0.84,49
SPY,2026-03-03,bear,A,0.65,677.1,673.22,0.576,671.86,672.38,0.077,672.12,677.7771,660.8058,652.3202,2026-03-03 09:49:00,2026-03-03 11:46:00,677.7771,STOP,-5.7915,-1.02,0,9,0.83,49
SPY,2026-03-04,bull,A,0.65,683.518,680.02,0.514,684.82,685.11,0.042,684.965,679.34,696.215,704.6526,2026-03-04 10:19:00,2026-03-04 15:55:00,685.94,EOD,0.838,0.15,1,10,1.03,19
SPY,2026-03-09,bear,A,0.65,667.63,663.64,0.601,664.03,665.27,0.187,664.65,668.2976,657.3547,651.8833,2026-03-09 09:53:00,2026-03-09 10:58:00,668.2976,STOP,-3.7806,-1.04,0,9,0.93,53
SPY,2026-03-13,bear,A,0.65,671.97,668.96,0.45,669.54,669.76,0.033,669.65,672.642,663.6661,659.1781,2026-03-13 10:17:00,2026-03-13 15:55:00,662.22,EOD,7.2961,2.44,1,10,1.43,17
SPY,2026-03-16,bull,A,0.65,669.76,667.69,0.31,669.96,670.15,0.028,670.055,667.0223,676.1204,680.6694,2026-03-16 09:45:00,2026-03-16 15:55:00,669.0399,EOD,-1.1491,-0.38,0,9,1.16,45
SPY,2026-03-19,bull,A,0.65,657.65,655.17,0.379,658.46,659.1,0.097,658.78,654.5148,667.3103,673.7081,2026-03-19 09:50:00,2026-03-19 15:55:00,660.215,EOD,1.3032,0.31,1,9,0.5,50
