ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
SPY,2026-02-04,bear,A,0.65,691.29,688.9907,0.334,687.4,687.83,0.063,687.615,689.615,683.615,680.615,2026-02-04 09:58:00,2026-02-04 10:12:00,689.615,STOP,-2.1375,-1.07,0,9,1.05,58
SPY,2026-02-05,bear,A,0.65,683.36,678.75,0.679,676.7,677.19,0.072,676.945,678.945,672.945,669.945,2026-02-05 10:11:00,2026-02-05 11:22:00,678.945,STOP,-2.1354,-1.07,0,10,1.33,11
SPY,2026-02-06,bull,A,0.65,685.57,680.85,0.693,684.29,684.82,0.077,684.555,682.555,688.555,691.555,2026-02-06 09:51:00,2026-02-06 15:20:00,684.6919,STOP,0.0,0.0,0,9,0.79,51
SPY,2026-02-09,bull,A,0.65,691.57,688.34,0.469,692.13,692.76,0.091,692.445,690.445,696.445,699.445,2026-02-09 10:16:00,2026-02-09 15:55:00,694.465,EOD,1.8815,0.94,1,10,0.68,16
SPY,2026-02-10,bull,A,0.65,695.55,693.455,0.302,695.335,695.69,0.051,695.5125,693.5125,699.5125,702.5125,2026-02-10 10:06:00,2026-02-10 13:29:00,693.5125,STOP,-2.1391,-1.07,0,10,0.97,6
SPY,2026-02-17,bear,A,0.65,682.8,680.03,0.407,677.9699,678.3729,0.059,678.1714,680.1714,674.1714,671.1714,2026-02-17 09:50:00,2026-02-17 11:05:00,680.1714,STOP,-2.1356,-1.07,0,9,1.62,50
SPY,2026-02-18,bull,A,0.65,685.46,682.83,0.385,686.6,686.725,0.018,686.6625,684.6625,690.6625,693.6625,2026-02-18 09:58:00,2026-02-18 14:55:00,684.6625,STOP,-2.1373,-1.07,0,9,0.96,58
SPY,2026-02-19,bull,A,0.65,684.75,682.47,0.334,684.46,684.7,0.035,684.58,682.58,688.58,691.58,2026-02-19 09:55:00,2026-02-19 12:48:00,682.58,STOP,-2.1369,-1.07,0,9,0.95,55
SPY,2026-02-20,bull,A,0.65,685.35,681.73,0.531,685.76,686.39,0.092,686.075,684.075,690.075,693.075,2026-02-20 10:01:00,2026-02-20 15:55:00,688.905,EOD,2.6928,1.35,1,10,6.53,1
SPY,2026-02-23,bear,A,0.65,690.0,687.44,0.372,686.3213,686.49,0.025,686.4056,688.4056,682.4056,679.4056,2026-02-23 09:56:00,2026-02-23 15:55:00,681.2401,EOD,5.0283,2.51,1,9,0.72,56
SPY,2026-02-26,bear,A,0.65,693.3,690.9,0.347,689.29,690.2,0.132,689.745,691.745,685.745,682.745,2026-02-26 10:01:00,2026-02-26 14:47:00,689.6071,STOP,0.0,0.0,0,10,1.6,1
SPY,2026-02-27,bull,A,0.65,684.25,681.64,0.383,684.85,685.05,0.029,684.95,682.95,688.95,691.95,2026-02-27 10:08:00,2026-02-27 15:55:00,685.41,EOD,0.323,0.16,1,10,1.37,8
SPY,2026-03-02,bull,A,0.65,682.46,678.02,0.655,683.01,683.37,0.053,683.19,681.19,687.19,690.19,2026-03-02 09:49:00,2026-03-02 15:55:00,687.01,EOD,3.6834,1.84,1,9,0.84,49
SPY,2026-03-03,bear,A,0.65,677.1,673.22,0.576,671.86,672.38,0.077,672.12,674.12,668.12,665.12,2026-03-03 09:49:00,2026-03-03 11:05:00,674.12,STOP,-2.1344,-1.07,0,9,0.83,49
SPY,2026-03-04,bull,A,0.65,683.518,680.02,0.514,684.82,685.11,0.042,684.965,682.965,688.965,691.965,2026-03-04 10:19:00,2026-03-04 15:55:00,685.94,EOD,0.838,0.42,1,10,1.03,19
SPY,2026-03-09,bear,A,0.65,667.63,663.64,0.601,664.03,665.27,0.187,664.65,666.65,660.65,657.65,2026-03-09 09:53:00,2026-03-09 10:44:00,666.65,STOP,-2.1329,-1.07,0,9,0.93,53
SPY,2026-03-13,bear,A,0.65,671.97,668.96,0.45,669.54,669.76,0.033,669.65,671.65,665.65,662.65,2026-03-13 10:17:00,2026-03-13 13:49:00,662.65,T2,6.8661,3.43,1,10,1.43,17
SPY,2026-03-16,bull,A,0.65,669.76,667.69,0.31,669.96,670.15,0.028,670.055,668.055,674.055,677.055,2026-03-16 09:45:00,2026-03-16 10:44:00,668.055,STOP,-2.134,-1.07,0,9,1.16,45
SPY,2026-03-19,bull,A,0.65,657.65,655.17,0.379,658.46,659.1,0.097,658.78,656.78,662.78,665.78,2026-03-19 09:50:00,2026-03-19 10:23:00,656.78,STOP,-2.1318,-1.07,0,9,0.5,50
