ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
SPY,2026-02-04,bear,A,0.65,691.29,688.9907,0.334,687.4,687.83,0.063,687.615,690.115,682.615,678.865,2026-02-04 09:58:00,2026-02-04 10:23:00,690.115,STOP,-2.6375,-1.06,0,9,1.05,58
SPY,2026-02-05,bear,A,0.65,683.36,678.75,0.679,676.7,677.19,0.072,676.945,679.445,671.945,668.195,2026-02-05 10:11:00,2026-02-05 11:27:00,679.445,STOP,-2.6354,-1.05,0,10,1.33,11
SPY,2026-02-06,bull,A,0.65,685.57,680.85,0.693,684.29,684.82,0.077,684.555,682.055,689.555,693.305,2026-02-06 09:51:00,2026-02-06 10:42:00,686.6919,PT,2.0,0.8,1,9,0.79,51
SPY,2026-02-09,bull,A,0.65,691.57,688.34,0.469,692.13,692.76,0.091,692.445,689.945,697.445,701.195,2026-02-09 10:16:00,2026-02-09 11:02:00,694.5835,PT,2.0,0.8,1,10,0.68,16
SPY,2026-02-10,bull,A,0.65,695.55,693.455,0.302,695.335,695.69,0.051,695.5125,693.0125,700.5125,704.2625,2026-02-10 10:06:00,2026-02-10 13:34:00,693.0125,STOP,-2.6391,-1.06,0,10,0.97,6
SPY,2026-02-17,bear,A,0.65,682.8,680.03,0.407,677.9699,678.3729,0.059,678.1714,680.6714,673.1714,669.4214,2026-02-17 09:50:00,2026-02-17 10:33:00,676.0358,PT,2.0,0.8,1,9,1.62,50
SPY,2026-02-18,bull,A,0.65,685.46,682.83,0.385,686.6,686.725,0.018,686.6625,684.1625,691.6625,695.4125,2026-02-18 09:58:00,2026-02-18 11:05:00,688.7998,PT,2.0,0.8,1,9,0.96,58
SPY,2026-02-19,bull,A,0.65,684.75,682.47,0.334,684.46,684.7,0.035,684.58,682.08,689.58,693.33,2026-02-19 09:55:00,2026-02-19 13:02:00,682.08,STOP,-2.6369,-1.05,0,9,0.95,55
SPY,2026-02-20,bull,A,0.65,685.35,681.73,0.531,685.76,686.39,0.092,686.075,683.575,691.075,694.825,2026-02-20 10:01:00,2026-02-20 10:02:00,688.2122,PT,2.0,0.8,1,10,6.53,1
SPY,2026-02-23,bear,A,0.65,690.0,687.44,0.372,686.3213,686.49,0.025,686.4056,688.9056,681.4056,677.6556,2026-02-23 09:56:00,2026-02-23 10:32:00,684.2684,PT,2.0,0.8,1,9,0.72,56
SPY,2026-02-26,bear,A,0.65,693.3,690.9,0.347,689.29,690.2,0.132,689.745,692.245,684.745,680.995,2026-02-26 10:01:00,2026-02-26 10:16:00,687.6071,PT,2.0,0.8,1,10,1.6,1
SPY,2026-02-27,bull,A,0.65,684.25,681.64,0.383,684.85,685.05,0.029,684.95,682.45,689.95,693.7,2026-02-27 10:08:00,2026-02-27 15:55:00,685.41,EOD,0.323,0.13,1,10,1.37,8
SPY,2026-03-02,bull,A,0.65,682.46,678.02,0.655,683.01,683.37,0.053,683.19,680.69,688.19,691.94,2026-03-02 09:49:00,2026-03-02 10:17:00,685.3266,PT,2.0,0.8,1,9,0.84,49
SPY,2026-03-03,bear,A,0.65,677.1,673.22,0.576,671.86,672.38,0.077,672.12,674.62,667.12,663.37,2026-03-03 09:49:00,2026-03-03 10:22:00,669.9856,PT,2.0,0.8,1,9,0.83,49
SPY,2026-03-04,bull,A,0.65,683.518,680.02,0.514,684.82,685.11,0.042,684.965,682.465,689.965,693.715,2026-03-04 10:19:00,2026-03-04 15:55:00,685.94,EOD,0.838,0.34,1,10,1.03,19
SPY,2026-03-09,bear,A,0.65,667.63,663.64,0.601,664.03,665.27,0.187,664.65,667.15,659.65,655.9,2026-03-09 09:53:00,2026-03-09 10:11:00,662.5171,PT,2.0,0.8,1,9,0.93,53
SPY,2026-03-13,bear,A,0.65,671.97,668.96,0.45,669.54,669.76,0.033,669.65,672.15,664.65,660.9,2026-03-13 10:17:00,2026-03-13 10:42:00,667.5161,PT,2.0,0.8,1,10,1.43,17
SPY,2026-03-16,bull,A,0.65,669.76,667.69,0.31,669.96,670.15,0.028,670.055,667.555,675.055,678.805,2026-03-16 09:45:00,2026-03-16 12:24:00,667.555,STOP,-2.634,-1.05,0,9,1.16,45
SPY,2026-03-19,bull,A,0.65,657.65,655.17,0.379,658.46,659.1,0.097,658.78,656.28,663.78,667.53,2026-03-19 09:50:00,2026-03-19 10:27:00,656.28,STOP,-2.6318,-1.05,0,9,0.5,50
