ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
SPY,2026-02-04,bear,A,0.65,691.29,688.9907,0.334,687.4,687.83,0.063,687.615,688.7344,685.3761,683.697,2026-02-04 09:58:00,2026-02-04 10:08:00,688.7344,STOP,-1.257,-1.12,0,9,1.05,58
SPY,2026-02-05,bear,A,0.65,683.36,678.75,0.679,676.7,677.19,0.072,676.945,678.0985,674.638,672.9078,2026-02-05 10:11:00,2026-02-05 10:16:00,678.0985,STOP,-1.2889,-1.12,0,10,1.33,11
SPY,2026-02-06,bull,A,0.65,685.57,680.85,0.693,684.29,684.82,0.077,684.555,683.4559,686.7532,688.4019,2026-02-06 09:51:00,2026-02-06 10:07:00,683.4559,STOP,-1.236,-1.12,0,9,0.79,51
SPY,2026-02-09,bull,A,0.65,691.57,688.34,0.469,692.13,692.76,0.091,692.445,691.6834,693.9682,695.1106,2026-02-09 10:16:00,2026-02-09 11:45:00,695.1106,T2,2.5271,3.32,1,10,0.68,16
SPY,2026-02-10,bull,A,0.65,695.55,693.455,0.302,695.335,695.69,0.051,695.5125,694.6499,697.2377,698.5316,2026-02-10 10:06:00,2026-02-10 11:09:00,694.6499,STOP,-1.0017,-1.16,0,10,0.97,6
SPY,2026-02-17,bear,A,0.65,682.8,680.03,0.407,677.9699,678.3729,0.059,678.1714,679.194,676.1262,674.5922,2026-02-17 09:50:00,2026-02-17 10:18:00,679.194,STOP,-1.1583,-1.13,0,9,1.62,50
SPY,2026-02-18,bull,A,0.65,685.46,682.83,0.385,686.6,686.725,0.018,686.6625,685.7768,688.434,689.7626,2026-02-18 09:58:00,2026-02-18 13:43:00,686.7998,STOP,0.0,0.0,0,9,0.96,58
SPY,2026-02-19,bull,A,0.65,684.75,682.47,0.334,684.46,684.7,0.035,684.58,683.8108,686.1184,687.2722,2026-02-19 09:55:00,2026-02-19 10:06:00,684.7169,STOP,0.0,0.0,0,9,0.95,55
SPY,2026-02-20,bull,A,0.65,685.35,681.73,0.531,685.76,686.39,0.092,686.075,685.1625,687.9,689.2688,2026-02-20 10:01:00,2026-02-20 10:02:00,689.2688,T2,3.0565,3.35,1,10,6.53,1
SPY,2026-02-23,bear,A,0.65,690.0,687.44,0.372,686.3213,686.49,0.025,686.4056,687.4333,684.3503,682.8088,2026-02-23 09:56:00,2026-02-23 10:52:00,682.8088,T2,3.4596,3.37,1,9,0.72,56
SPY,2026-02-26,bear,A,0.65,693.3,690.9,0.347,689.29,690.2,0.132,689.745,690.4191,688.3968,687.3856,2026-02-26 10:01:00,2026-02-26 10:04:00,690.4191,STOP,-0.8121,-1.2,0,10,1.6,1
SPY,2026-02-27,bull,A,0.65,684.25,681.64,0.383,684.85,685.05,0.029,684.95,683.7415,687.367,689.1797,2026-02-27 10:08:00,2026-02-27 10:18:00,683.7415,STOP,-1.3455,-1.11,0,10,1.37,8
SPY,2026-03-02,bull,A,0.65,682.46,678.02,0.655,683.01,683.37,0.053,683.19,682.1303,685.3093,686.8988,2026-03-02 09:49:00,2026-03-02 09:52:00,682.1303,STOP,-1.1963,-1.13,0,9,0.84,49
SPY,2026-03-03,bear,A,0.65,677.1,673.22,0.576,671.86,672.38,0.077,672.12,673.2959,669.7682,668.0044,2026-03-03 09:49:00,2026-03-03 09:51:00,673.2959,STOP,-1.3103,-1.11,0,9,0.83,49
SPY,2026-03-04,bull,A,0.65,683.518,680.02,0.514,684.82,685.11,0.042,684.965,684.1918,686.5114,687.6713,2026-03-04 10:19:00,2026-03-04 10:45:00,684.1918,STOP,-0.9102,-1.18,0,10,1.03,19
SPY,2026-03-09,bear,A,0.65,667.63,663.64,0.601,664.03,665.27,0.187,664.65,666.2808,661.3884,658.9423,2026-03-09 09:53:00,2026-03-09 10:38:00,666.2808,STOP,-1.7637,-1.08,0,9,0.93,53
SPY,2026-03-13,bear,A,0.65,671.97,668.96,0.45,669.54,669.76,0.033,669.65,670.4424,668.0652,666.8766,2026-03-13 10:17:00,2026-03-13 10:31:00,669.5161,STOP,0.0,0.0,0,10,1.43,17
SPY,2026-03-16,bull,A,0.65,669.76,667.69,0.31,669.96,670.15,0.028,670.055,669.3157,671.5335,672.6424,2026-03-16 09:45:00,2026-03-16 10:33:00,669.3157,STOP,-0.8733,-1.18,0,9,1.16,45
SPY,2026-03-19,bull,A,0.65,657.65,655.17,0.379,658.46,659.1,0.097,658.78,657.5903,661.1594,662.944,2026-03-19 09:50:00,2026-03-19 10:16:00,657.5903,STOP,-1.3215,-1.11,0,9,0.5,50
