ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
AAPL,2026-02-03,bull,A,0.65,270.33,267.68,0.99,270.97,271.21,0.089,271.09,268.59,276.09,279.84,2026-02-03 09:53:00,2026-02-03 10:17:00,268.59,STOP,-2.5542,-1.02,0,9,0.76,53
AAPL,2026-02-04,bull,A,0.65,277.06,272.285,1.754,275.2087,275.5,0.106,275.3544,272.8544,280.3544,284.1044,2026-02-04 09:48:00,2026-02-04 15:55:00,276.865,EOD,1.4556,0.58,1,9,0.85,48
AAPL,2026-02-06,bull,A,0.65,279.93,277.0,1.058,280.03,280.35,0.114,280.19,277.69,285.19,288.94,2026-02-06 09:51:00,2026-02-06 13:28:00,277.69,STOP,-2.556,-1.02,0,9,3.08,51
AAPL,2026-02-09,bear,A,0.65,278.2,273.48,1.726,273.82,273.85,0.011,273.835,276.335,268.835,265.085,2026-02-09 10:02:00,2026-02-09 15:55:00,274.79,EOD,-1.0098,-0.4,0,10,0.82,2
AAPL,2026-02-11,bull,A,0.65,276.83,274.45,0.867,276.42,276.54,0.043,276.48,274.1755,281.0889,284.5456,2026-02-11 09:54:00,2026-02-11 15:55:00,275.78,EOD,-0.7553,-0.33,0,9,1.28,54
AAPL,2026-02-12,bear,A,0.65,275.72,271.91,1.401,271.41,271.57,0.059,271.49,273.99,266.49,262.74,2026-02-12 10:01:00,2026-02-12 12:50:00,262.74,T2,8.6957,3.48,1,10,0.74,1
AAPL,2026-02-17,bull,A,0.65,259.67,255.54,1.616,260.62,261.0301,0.157,260.8251,258.3251,265.8251,269.5751,2026-02-17 10:15:00,2026-02-17 15:50:00,263.3772,STOP,2.5,1.0,1,10,0.94,15
AAPL,2026-02-20,bull,A,0.65,260.25,258.16,0.81,261.19,261.43,0.092,261.31,258.81,266.31,270.06,2026-02-20 10:01:00,2026-02-20 15:55:00,264.58,EOD,3.2177,1.29,1,10,2.3,1
AAPL,2026-02-24,bull,A,0.65,274.24,267.71,2.439,273.97,274.17,0.073,274.07,271.57,279.07,282.82,2026-02-24 09:47:00,2026-02-24 13:30:00,271.57,STOP,-2.5548,-1.02,0,9,0.58,47
AAPL,2026-02-25,bull,A,0.65,272.66,271.05,0.594,273.144,273.29,0.053,273.217,270.779,278.0931,281.7502,2026-02-25 09:46:00,2026-02-25 15:55:00,274.475,EOD,1.2034,0.49,1,9,1.19,46
AAPL,2026-02-26,bear,A,0.65,276.11,273.2,1.065,272.51,272.67,0.059,272.59,275.09,267.59,263.84,2026-02-26 10:12:00,2026-02-26 15:55:00,272.925,EOD,-0.3895,-0.16,0,10,1.14,12
AAPL,2026-03-02,bull,A,0.65,263.32,260.2,1.199,263.9,264.009,0.041,263.9545,261.4545,268.9545,272.7045,2026-03-02 10:01:00,2026-03-02 15:55:00,264.81,EOD,0.8027,0.32,1,10,0.76,1
AAPL,2026-03-04,bear,A,0.65,266.15,262.14,1.53,262.13,262.4801,0.134,262.305,264.805,257.305,253.555,2026-03-04 09:47:00,2026-03-04 11:35:00,264.805,STOP,-2.5525,-1.02,0,9,0.62,47
AAPL,2026-03-05,bear,A,0.65,261.46,259.13,0.899,259.14,259.37,0.089,259.255,261.7215,254.3221,250.6224,2026-03-05 10:10:00,2026-03-05 15:55:00,259.99,EOD,-0.7869,-0.32,0,10,0.81,10
AAPL,2026-03-12,bear,A,0.65,258.95,256.77,0.849,256.38,256.705,0.127,256.5425,259.0425,251.5425,247.7925,2026-03-12 09:48:00,2026-03-12 15:55:00,255.68,EOD,0.8112,0.32,1,9,0.67,48
AAPL,2026-03-16,bull,A,0.65,252.32,249.88,0.976,252.75,252.83,0.032,252.79,250.29,257.79,261.54,2026-03-16 09:54:00,2026-03-16 15:55:00,252.62,EOD,-0.2206,-0.09,0,9,0.65,54
AAPL,2026-03-17,bull,A,0.65,254.42,252.18,0.888,254.7,254.785,0.033,254.7425,252.2425,259.7425,263.4925,2026-03-17 09:46:00,2026-03-17 15:55:00,254.32,EOD,-0.4734,-0.19,0,9,1.15,46
AAPL,2026-03-19,bull,A,0.65,250.7,247.3,1.375,250.81,250.84,0.012,250.825,248.325,255.825,259.575,2026-03-19 09:49:00,2026-03-19 12:50:00,248.325,STOP,-2.5502,-1.02,0,9,0.73,49
