ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
NVDA,2026-02-03,bear,A,0.65,186.27,182.78,1.909,181.4,181.78,0.209,181.59,184.09,176.59,172.84,2026-02-03 09:55:00,2026-02-03 15:31:00,179.0537,STOP,2.5,1.0,1,9,0.97,55
NVDA,2026-02-04,bear,A,0.65,179.565,177.2,1.335,177.2817,177.32,0.022,177.3008,179.7446,172.4134,168.7478,2026-02-04 10:02:00,2026-02-04 14:18:00,174.8217,STOP,2.4437,1.0,1,10,1.46,2
NVDA,2026-02-06,bull,A,0.65,179.98,174.6,3.081,180.75,181.15,0.221,180.95,178.45,185.95,189.7,2026-02-06 09:45:00,2026-02-06 15:55:00,186.035,EOD,5.0488,2.02,1,9,1.41,45
NVDA,2026-02-09,bull,A,0.65,190.94,183.95,3.8,192.18,192.3301,0.078,192.255,189.755,197.255,201.005,2026-02-09 09:45:00,2026-02-09 15:26:00,189.755,STOP,-2.5385,-1.02,0,9,1.51,45
NVDA,2026-02-10,bear,A,0.65,192.48,189.2,1.734,189.3999,189.57,0.09,189.4849,191.9849,184.4849,180.7349,2026-02-10 09:47:00,2026-02-10 15:55:00,188.66,EOD,0.7871,0.31,1,9,0.58,47
NVDA,2026-02-11,bear,A,0.65,193.2,190.99,1.157,190.24,190.34,0.053,190.29,192.79,185.29,181.54,2026-02-11 10:06:00,2026-02-11 15:55:00,190.325,EOD,-0.0731,-0.03,0,10,0.54,6
NVDA,2026-02-12,bear,A,0.65,193.61,191.67,1.012,191.29,191.39,0.052,191.34,193.8036,186.4128,182.7174,2026-02-12 09:58:00,2026-02-12 15:55:00,187.02,EOD,4.2817,1.74,1,9,0.84,58
NVDA,2026-02-17,bear,A,0.65,183.42,181.01,1.331,179.63,179.7,0.039,179.665,182.165,174.665,170.915,2026-02-17 09:47:00,2026-02-17 11:01:00,182.165,STOP,-2.5359,-1.01,0,9,1.2,47
NVDA,2026-02-18,bull,A,0.65,189.19,187.35,0.982,189.49,189.6,0.058,189.545,187.1626,194.3097,197.8832,2026-02-18 10:04:00,2026-02-18 14:57:00,187.1626,STOP,-2.4203,-1.02,0,10,0.97,4
NVDA,2026-02-19,bull,A,0.65,187.39,185.8,0.856,187.52,187.54,0.011,187.53,185.6142,191.3616,194.2353,2026-02-19 10:07:00,2026-02-19 15:55:00,187.52,EOD,-0.0475,-0.02,0,10,0.67,7
NVDA,2026-02-20,bull,A,0.65,188.45,185.9378,1.351,187.2,187.23,0.016,187.215,185.7519,190.1413,192.336,2026-02-20 10:01:00,2026-02-20 11:25:00,188.7156,STOP,1.4631,1.0,1,10,2.14,1
NVDA,2026-02-23,bear,A,0.65,193.95,191.3,1.385,190.96,191.17,0.11,191.065,193.565,186.065,182.315,2026-02-23 10:17:00,2026-02-23 15:55:00,191.035,EOD,-0.0082,-0.0,0,10,0.97,17
NVDA,2026-02-25,bull,A,0.65,195.0,193.79,0.624,195.59,195.71,0.061,195.65,193.5962,199.7576,202.8383,2026-02-25 09:51:00,2026-02-25 15:55:00,196.2755,EOD,0.5864,0.29,1,9,3.15,51
NVDA,2026-02-26,bear,A,0.65,194.29,189.41,2.576,188.99,189.24,0.132,189.115,191.615,184.115,180.365,2026-02-26 09:45:00,2026-02-26 15:55:00,184.94,EOD,4.1372,1.65,1,9,1.13,45
NVDA,2026-02-27,bull,A,0.65,181.79,179.73,1.146,181.39,181.77,0.209,181.58,179.5503,185.6395,188.6841,2026-02-27 10:07:00,2026-02-27 12:21:00,179.5503,STOP,-2.066,-1.02,0,10,0.82,7
NVDA,2026-03-02,bull,A,0.65,180.0699,174.64,3.109,180.76,180.84,0.044,180.8,178.3,185.8,189.55,2026-03-02 10:06:00,2026-03-02 15:55:00,182.595,EOD,1.7588,0.7,1,10,1.05,6
NVDA,2026-03-04,bull,A,0.65,182.33,180.06,1.261,181.01,181.56,0.304,181.285,179.8799,184.0951,186.2027,2026-03-04 09:48:00,2026-03-04 15:24:00,182.7263,STOP,1.4051,1.0,1,9,0.66,48
NVDA,2026-03-06,bull,A,0.65,181.55,179.64,1.063,181.6,181.86,0.143,181.73,179.4604,186.2693,189.6737,2026-03-06 09:47:00,2026-03-06 15:10:00,179.4604,STOP,-2.306,-1.02,0,9,0.78,47
NVDA,2026-03-12,bear,A,0.65,184.86,183.52,0.73,183.08,183.2712,0.104,183.1756,185.0449,179.4371,176.6332,2026-03-12 09:47:00,2026-03-12 15:55:00,183.15,EOD,-0.011,-0.01,0,9,1.46,47
NVDA,2026-03-13,bear,A,0.65,186.09,184.415,0.908,183.76,183.95,0.103,183.855,186.2761,179.0128,175.3812,2026-03-13 10:02:00,2026-03-13 15:55:00,179.96,EOD,3.8582,1.59,1,10,1.18,2
NVDA,2026-03-17,bear,A,0.65,185.4,183.26,1.168,182.99,183.065,0.041,183.0275,185.5275,178.0275,174.2775,2026-03-17 09:58:00,2026-03-17 15:55:00,181.99,EOD,1.0009,0.4,1,9,1.08,58
NVDA,2026-03-18,bull,A,0.65,182.82,180.72,1.162,182.66,182.7,0.022,182.68,180.5393,186.9614,190.1725,2026-03-18 10:06:00,2026-03-18 15:51:00,180.5393,STOP,-2.1773,-1.02,0,10,0.74,6
