ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
QQQ,2026-02-04,bear,A,0.65,615.1,611.29,0.623,609.46,610.2101,0.123,609.8351,612.3351,604.8351,601.0851,2026-02-04 09:58:00,2026-02-04 10:23:00,612.3351,STOP,-2.622,-1.05,0,9,1.03,58
QQQ,2026-02-05,bear,A,0.65,604.215,597.35,1.149,595.96,596.04,0.013,596.0,598.5,591.0,587.25,2026-02-05 10:11:00,2026-02-05 10:42:00,598.5,STOP,-2.6192,-1.05,0,10,0.98,11
QQQ,2026-02-06,bull,A,0.65,604.24,598.77,0.914,601.4,601.86,0.076,601.63,599.13,606.63,610.38,2026-02-06 09:51:00,2026-02-06 09:52:00,603.7503,PT,2.0,0.8,1,9,0.83,51
QQQ,2026-02-09,bull,A,0.65,609.81,605.07,0.783,609.68,609.97,0.048,609.825,607.325,614.825,618.575,2026-02-09 09:46:00,2026-02-09 10:19:00,611.947,PT,2.0,0.8,1,9,0.76,46
QQQ,2026-02-10,bull,A,0.65,616.14,612.63,0.573,615.64,615.72,0.013,615.68,613.18,620.68,624.43,2026-02-10 10:06:00,2026-02-10 13:32:00,613.18,STOP,-2.6231,-1.05,0,10,1.15,6
QQQ,2026-02-11,bear,A,0.65,617.52,614.49,0.493,613.49,613.62,0.021,613.555,616.055,608.555,604.805,2026-02-11 09:58:00,2026-02-11 10:11:00,611.4323,PT,2.0,0.8,1,9,0.73,58
QQQ,2026-02-12,bear,A,0.65,615.81,613.71,0.342,612.55,612.7,0.024,612.625,615.125,607.625,603.875,2026-02-12 09:45:00,2026-02-12 10:09:00,610.5025,PT,2.0,0.8,1,9,1.39,45
QQQ,2026-02-17,bear,A,0.65,602.2,597.11,0.852,595.7,596.19,0.082,595.945,598.445,590.945,587.195,2026-02-17 09:51:00,2026-02-17 10:00:00,593.8258,PT,2.0,0.8,1,9,1.1,51
QQQ,2026-02-18,bull,A,0.65,603.545,600.72,0.47,604.79,604.87,0.013,604.83,602.33,609.83,613.58,2026-02-18 09:55:00,2026-02-18 10:04:00,606.951,PT,2.0,0.8,1,9,0.72,55
QQQ,2026-02-19,bull,A,0.65,603.97,601.09,0.479,603.95,604.05,0.017,604.0,601.5,609.0,612.75,2026-02-19 09:55:00,2026-02-19 12:52:00,601.5,STOP,-2.6208,-1.05,0,9,0.84,55
QQQ,2026-02-20,bull,A,0.65,605.738,599.23,1.086,604.98,605.6,0.102,605.29,602.79,610.29,614.04,2026-02-20 10:01:00,2026-02-20 10:02:00,607.4111,PT,2.0,0.8,1,10,3.3,1
QQQ,2026-02-23,bear,A,0.65,608.01,604.16,0.637,604.21,604.29,0.013,604.25,606.75,599.25,595.5,2026-02-23 10:05:00,2026-02-23 10:52:00,602.1291,PT,2.0,0.8,1,10,1.36,5
QQQ,2026-02-24,bull,A,0.65,604.97,599.73,0.874,604.16,604.32,0.026,604.24,601.74,609.24,612.99,2026-02-24 09:47:00,2026-02-24 10:26:00,606.3608,PT,2.0,0.8,1,9,0.89,47
QQQ,2026-02-25,bull,A,0.65,613.915,611.0,0.477,615.08,615.18,0.016,615.13,612.63,620.13,623.88,2026-02-25 09:46:00,2026-02-25 15:55:00,616.47,EOD,1.217,0.49,1,9,0.93,46
QQQ,2026-02-26,bear,A,0.65,615.59,612.72,0.468,612.245,612.48,0.038,612.3625,614.8625,607.3625,603.6125,2026-02-26 09:52:00,2026-02-26 10:12:00,610.24,PT,2.0,0.8,1,9,0.53,52
QQQ,2026-02-27,bull,A,0.65,605.25,602.19,0.508,606.8,606.92,0.02,606.86,604.36,611.86,615.61,2026-02-27 10:05:00,2026-02-27 15:55:00,606.89,EOD,-0.0914,-0.04,0,10,0.74,5
QQQ,2026-03-02,bull,A,0.65,604.74,597.99,1.129,604.82,604.91,0.015,604.865,602.365,609.865,613.615,2026-03-02 10:07:00,2026-03-02 11:09:00,606.986,PT,2.0,0.8,1,10,0.67,7
QQQ,2026-03-03,bear,A,0.65,599.39,595.59,0.638,594.84,595.27,0.072,595.055,597.555,590.055,586.305,2026-03-03 10:02:00,2026-03-03 10:22:00,592.936,PT,2.0,0.8,1,10,0.88,2
QQQ,2026-03-04,bull,A,0.65,606.93,603.72,0.532,607.7001,607.77,0.012,607.7351,605.2351,612.7351,616.4851,2026-03-04 10:10:00,2026-03-04 10:24:00,609.8566,PT,2.0,0.8,1,10,1.09,10
QQQ,2026-03-05,bull,A,0.65,610.76,607.37,0.558,611.52,611.74,0.036,611.63,609.13,616.63,620.38,2026-03-05 09:57:00,2026-03-05 10:22:00,609.13,STOP,-2.6223,-1.05,0,9,1.24,57
QQQ,2026-03-06,bull,A,0.65,601.48,598.54,0.491,600.485,601.22,0.122,600.8525,598.3525,605.8525,609.6025,2026-03-06 10:02:00,2026-03-06 10:14:00,602.9727,PT,2.0,0.8,1,10,0.84,2
QQQ,2026-03-09,bear,A,0.65,596.47,592.31,0.702,593.5191,594.33,0.137,593.9245,596.4245,588.9245,585.1745,2026-03-09 09:53:00,2026-03-09 09:54:00,591.8058,PT,2.0,0.8,1,9,0.97,53
QQQ,2026-03-12,bear,A,0.65,604.14,601.95,0.364,601.6,601.78,0.03,601.69,604.19,596.69,592.94,2026-03-12 09:46:00,2026-03-12 09:56:00,599.5697,PT,2.0,0.8,1,9,1.28,46
QQQ,2026-03-16,bull,A,0.65,601.4876,599.23,0.377,599.69,599.82,0.022,599.755,598.6308,602.0035,603.6898,2026-03-16 10:08:00,2026-03-16 10:09:00,601.875,PT,2.0,1.78,1,10,1.51,8
QQQ,2026-03-17,bull,A,0.65,604.9599,602.28,0.445,603.88,603.96,0.013,603.92,601.6777,608.4046,611.768,2026-03-17 09:46:00,2026-03-17 15:55:00,603.26,EOD,-0.7808,-0.35,0,9,1.37,46
QQQ,2026-03-19,bull,A,0.65,590.11,587.08,0.516,591.3101,591.43,0.02,591.37,588.87,596.37,600.12,2026-03-19 09:50:00,2026-03-19 11:37:00,588.87,STOP,-2.6183,-1.05,0,9,0.98,50
QQQ,2026-03-20,bear,A,0.65,591.1738,588.5909,0.439,587.5998,587.7611,0.027,587.6805,590.1805,582.6805,578.9305,2026-03-20 09:51:00,2026-03-20 10:13:00,585.5629,PT,2.0,0.8,1,9,0.97,51
