entry_time,exit_time,symbol,strike,dte,entry_price,exit_price,best_price,worst_price,pnl,pnl_pct,hold_duration_min,signal_type,recommended_dte,actual_dte
2026-01-30 09:00:00,2026-01-30 09:06:00,NVDA,191.0,0,2.5,2.53,2.54,2.5,3.2,1.28,6.0,BOS_BULL,0,0
2026-01-30 09:00:00,2026-01-30 09:06:00,SPY,691.0,0,2.5,2.52,2.52,2.5,1.85,0.74,6.0,BOS_BULL,0,0
2026-01-30 09:00:00,2026-01-30 09:06:00,QQQ,626.0,0,2.5,2.51,2.51,2.49,0.84,0.34,6.0,BOS_BULL,0,0
2026-01-30 09:00:00,2026-01-30 09:06:00,TSLA,424.0,0,2.5,2.47,2.51,2.46,-2.69,-1.08,6.0,BOS_BULL,0,0
2026-01-30 09:01:00,2026-01-30 09:07:00,AMD,245.0,0,2.5,2.24,2.5,2.01,-26.05,-10.42,6.0,BOS_BULL,0,0
2026-01-30 09:01:00,2026-01-30 09:07:00,AAPL,259.0,0,2.5,2.52,2.58,2.5,1.55,0.62,6.0,BOS_BULL,0,0
2026-01-30 09:01:00,2026-01-30 09:07:00,SPY,691.0,0,2.5,2.5,2.51,2.49,0.29,0.12,6.0,BOS_BULL,0,0
2026-01-30 09:01:00,2026-01-30 09:07:00,QQQ,626.0,0,2.5,2.49,2.5,2.48,-0.66,-0.26,6.0,BOS_BULL,0,0
2026-01-30 09:01:00,2026-01-30 09:07:00,TSLA,424.0,0,2.5,2.46,2.5,2.44,-4.3,-1.72,6.0,BOS_BULL,0,0
2026-01-30 09:02:00,2026-01-30 09:08:00,AAPL,259.0,0,2.5,2.54,2.59,2.5,3.67,1.47,6.0,BOS_BULL,0,0
2026-01-30 09:03:00,2026-01-30 09:09:00,AAPL,259.0,0,2.5,2.47,2.53,2.46,-3.38,-1.35,6.0,BOS_BULL,0,0
2026-01-30 09:04:00,2026-01-30 09:10:00,AAPL,259.0,0,2.5,2.45,2.5,2.43,-4.82,-1.93,6.0,BOS_BULL,0,0
2026-01-30 09:05:00,2026-01-30 09:11:00,AAPL,259.0,0,2.5,2.47,2.5,2.45,-3.47,-1.39,6.0,BOS_BULL,0,0
2026-01-30 09:08:00,2026-01-30 09:14:00,MSFT,434.0,0,2.5,2.56,2.57,2.5,6.2,2.48,6.0,BOS_BULL,0,0
2026-01-30 09:12:00,2026-01-30 09:18:00,SPY,692.0,0,2.5,2.5,2.51,2.5,-0.22,-0.09,6.0,BOS_BULL,0,0
2026-01-30 09:13:00,2026-01-30 09:19:00,AAPL,259.0,0,2.5,2.47,2.5,2.47,-3.28,-1.31,6.0,BOS_BULL,0,0
2026-01-30 09:14:00,2026-01-30 09:20:00,META,729.0,0,2.5,2.49,2.5,2.49,-1.05,-0.42,6.0,BOS_BULL,0,0
2026-01-30 09:16:00,2026-01-30 09:22:00,NVDA,191.0,0,2.5,2.56,2.56,2.48,6.01,2.4,6.0,BOS_BULL,0,0
2026-01-30 09:21:00,2026-01-30 09:27:00,TSLA,423.0,0,2.5,2.65,2.65,2.5,15.07,6.03,6.0,BOS_BULL,0,0
2026-01-30 09:22:00,2026-01-30 09:28:00,NVDA,192.0,0,2.5,2.46,2.5,2.44,-4.31,-1.73,6.0,BOS_BULL,0,0
2026-01-30 09:22:00,2026-01-30 09:28:00,TSLA,423.0,0,2.5,2.67,2.67,2.5,16.79,6.71,6.0,BOS_BULL,0,0
2026-01-30 09:23:00,2026-01-30 09:29:00,TSLA,423.0,0,2.5,2.64,2.67,2.5,13.52,5.41,6.0,BOS_BULL,0,0
2026-01-30 09:24:00,2026-01-30 09:30:00,TSLA,424.0,0,2.5,2.84,2.84,2.5,33.57,13.43,6.0,BOS_BULL,0,0
2026-01-30 09:25:00,2026-01-30 09:31:00,TSLA,424.0,0,2.5,2.71,2.82,2.5,20.57,8.23,6.0,BOS_BULL,0,0
2026-01-30 09:25:00,2026-01-30 09:31:00,MSFT,438.0,0,2.5,2.38,2.58,2.38,-11.96,-4.79,6.0,BOS_BULL,0,0
2026-01-30 09:26:00,2026-01-30 09:32:00,TSLA,425.0,0,2.5,2.51,2.78,2.5,1.41,0.57,6.0,BOS_BULL,0,0
2026-01-30 09:26:00,2026-01-30 09:32:00,MSFT,438.0,0,2.5,2.36,2.58,2.36,-13.76,-5.5,6.0,FVG_BULL,0,0
