ticker,timestamp,time_bucket,signal_type,entry,stop,risk,atr,volume_ratio,confidence,outcome,peak_r,actual_r,peak_price,bars_to_peak,time_to_peak_min,bars_to_exit,stopped_out
SPY,2025-12-01 11:20:00,MIDDAY (10:30-15:00),SELL,679.16,679.4,0.24,0.16,4.28,100,STOP_OUT,0.12,-1.0,679.13,1,1,1,True
SPY,2025-12-01 11:37:00,MIDDAY (10:30-15:00),SELL,679.2,679.39,0.19,0.13,2.03,90,STOP_OUT,0.16,-1.0,679.17,0,0,0,True
SPY,2025-12-01 11:51:00,MIDDAY (10:30-15:00),SELL,679.16,679.36,0.2,0.13,2.31,90,STOP_OUT,0.0,-1.0,679.16,0,0,0,True
SPY,2025-12-01 11:57:00,MIDDAY (10:30-15:00),SELL,679.37,679.57,0.2,0.14,3.15,100,STOP_OUT,0.1,-1.0,679.35,1,1,1,True
SPY,2025-12-01 11:58:00,MIDDAY (10:30-15:00),SELL,679.38,679.58,0.2,0.13,4.04,100,REVERSAL,1.3,0.65,679.12,5,5,5,False
SPY,2025-12-01 12:24:00,MIDDAY (10:30-15:00),SELL,678.73,679.04,0.31,0.21,3.36,100,REVERSAL,0.58,0.29,678.55,3,3,3,False
SPY,2025-12-01 12:26:00,MIDDAY (10:30-15:00),SELL,678.66,678.94,0.28,0.19,2.25,90,REVERSAL,0.79,0.39,678.44,3,3,3,False
SPY,2025-12-01 12:48:00,MIDDAY (10:30-15:00),SELL,678.03,678.26,0.23,0.15,6.08,100,STOP_OUT,0.3,-1.0,677.96,0,0,0,True
SPY,2025-12-01 13:00:00,MIDDAY (10:30-15:00),SELL,678.37,679.23,0.86,0.58,11.64,100,STOP_OUT,0.0,-1.0,678.37,0,0,0,True
SPY,2025-12-01 13:02:00,MIDDAY (10:30-15:00),SELL,678.4,680.06,1.66,1.1,9.28,100,STOP_OUT,0.0,-1.0,678.4,0,0,0,True
SPY,2025-12-01 13:21:00,MIDDAY (10:30-15:00),SELL,678.72,679.0,0.28,0.19,3.67,100,STOP_OUT,0.29,-1.0,678.64,0,0,0,True
SPY,2025-12-01 13:31:00,MIDDAY (10:30-15:00),SELL,678.73,679.01,0.28,0.19,4.07,100,STOP_OUT,0.43,-1.0,678.61,6,6,6,True
SPY,2025-12-01 13:35:00,MIDDAY (10:30-15:00),SELL,678.88,679.15,0.27,0.18,2.42,80,REVERSAL,0.96,0.48,678.62,1,1,1,False
SPY,2025-12-01 13:37:00,MIDDAY (10:30-15:00),SELL,678.63,678.91,0.28,0.19,3.4,100,STOP_OUT,0.07,-1.0,678.61,0,0,0,True
SPY,2025-12-01 13:50:00,MIDDAY (10:30-15:00),SELL,678.79,679.54,0.75,0.5,4.38,100,STOP_OUT,0.12,-1.0,678.7,2,2,2,True
SPY,2025-12-01 14:00:00,MIDDAY (10:30-15:00),SELL,679.11,679.81,0.7,0.47,3.06,100,REVERSAL,0.57,0.29,678.71,24,24,26,False
SPY,2025-12-01 14:25:00,MIDDAY (10:30-15:00),SELL,678.84,679.09,0.25,0.17,2.49,80,REVERSAL,0.8,0.4,678.64,3,3,3,False
SPY,2025-12-01 14:31:00,MIDDAY (10:30-15:00),SELL,679.06,679.38,0.32,0.22,4.18,100,REVERSAL,0.94,0.47,678.76,0,0,0,False
SPY,2025-12-02 09:42:00,OPEN (9:30-9:45),SELL,680.59,680.83,0.24,0.16,4.36,100,STOP_OUT,0.08,-1.0,680.57,2,2,2,True
SPY,2025-12-02 09:58:00,MORNING (9:45-10:30),SELL,680.96,681.09,0.13,0.09,2.84,97,STOP_OUT,0.23,-1.0,680.93,0,0,0,True
SPY,2025-12-02 10:11:00,MORNING (9:45-10:30),SELL,681.01,681.09,0.08,0.06,3.06,100,STOP_OUT,0.12,-1.0,681.0,0,0,0,True
SPY,2025-12-02 10:22:00,MORNING (9:45-10:30),SELL,680.89,680.99,0.1,0.07,2.12,90,STOP_OUT,0.0,-1.0,680.89,0,0,0,True
SPY,2025-12-02 10:36:00,MIDDAY (10:30-15:00),SELL,681.37,681.52,0.15,0.1,3.21,100,STOP_OUT,0.33,-1.0,681.32,1,1,1,True
SPY,2025-12-02 12:16:00,MIDDAY (10:30-15:00),SELL,681.62,681.82,0.2,0.13,2.18,90,STOP_OUT,0.0,-1.0,681.62,0,0,0,True
SPY,2025-12-02 12:34:00,MIDDAY (10:30-15:00),SELL,681.39,681.6,0.21,0.14,3.67,100,REVERSAL,0.57,0.29,681.27,3,3,3,False
SPY,2025-12-02 12:41:00,MIDDAY (10:30-15:00),SELL,681.39,681.59,0.2,0.14,2.95,90,STOP_OUT,0.25,-1.0,681.34,6,6,6,True
SPY,2025-12-03 14:03:00,MIDDAY (10:30-15:00),SELL,681.43,681.8,0.37,0.24,5.09,100,REVERSAL,1.81,0.91,680.76,0,0,0,False
SPY,2025-12-03 14:04:00,MIDDAY (10:30-15:00),SELL,680.96,681.38,0.43,0.29,2.71,97,REVERSAL,1.17,0.58,680.47,0,0,0,False
SPY,2025-12-03 14:30:00,MIDDAY (10:30-15:00),SELL,680.39,680.96,0.57,0.38,20.62,100,STOP_OUT,0.0,-1.0,680.39,0,0,0,True
SPY,2025-12-05 15:53:00,CLOSE (15:00-16:00),BUY,687.28,686.79,0.48,0.32,2.04,83,STOP_OUT,0.33,-1.0,687.44,0,0,0,True
SPY,2025-12-08 13:01:00,MIDDAY (10:30-15:00),BUY,687.25,686.81,0.44,0.3,2.35,83,STOP_OUT,0.0,-1.0,687.25,0,0,0,True
SPY,2025-12-08 13:13:00,MIDDAY (10:30-15:00),BUY,687.0,686.15,0.85,0.57,2.3,87,STOP_OUT,0.38,-1.0,687.32,7,7,7,True
SPY,2025-12-08 13:20:00,MIDDAY (10:30-15:00),BUY,687.26,687.12,0.14,0.09,2.45,90,STOP_OUT,0.43,-1.0,687.32,0,0,0,True
SPY,2025-12-08 14:03:00,MIDDAY (10:30-15:00),BUY,687.04,686.87,0.17,0.11,2.48,85,REVERSAL,0.71,0.35,687.16,3,3,3,False
SPY,2025-12-08 14:11:00,MIDDAY (10:30-15:00),BUY,687.14,686.99,0.15,0.1,4.05,100,STOP_OUT,0.4,-1.0,687.2,1,1,1,True
SPY,2025-12-10 14:36:00,MIDDAY (10:30-15:00),SELL,681.57,681.95,0.38,0.26,2.06,80,STOP_OUT,0.0,-1.0,681.57,0,0,0,True
SPY,2025-12-11 13:02:00,MIDDAY (10:30-15:00),BUY,687.57,685.6,1.97,1.32,7.7,100,STOP_OUT,0.0,-1.0,687.57,0,0,0,True
SPY,2025-12-12 10:10:00,MORNING (9:45-10:30),BUY,688.64,688.48,0.16,0.11,2.17,90,REVERSAL,0.81,0.41,688.77,1,1,1,False
SPY,2025-12-12 10:33:00,MIDDAY (10:30-15:00),BUY,688.14,687.97,0.17,0.11,2.12,90,STOP_OUT,0.0,-1.0,688.14,0,0,0,True
SPY,2025-12-12 10:54:00,MIDDAY (10:30-15:00),BUY,688.35,688.21,0.14,0.09,4.38,100,REVERSAL,0.64,0.32,688.44,0,0,0,False
SPY,2025-12-12 10:55:00,MIDDAY (10:30-15:00),BUY,688.44,688.29,0.15,0.1,2.11,90,STOP_OUT,0.4,-1.0,688.5,2,2,2,True
SPY,2025-12-12 11:13:00,MIDDAY (10:30-15:00),BUY,688.38,688.23,0.15,0.1,2.01,85,REVERSAL,0.67,0.33,688.48,0,0,0,False
SPY,2025-12-12 11:15:00,MIDDAY (10:30-15:00),BUY,688.6,688.43,0.17,0.11,8.37,100,STOP_OUT,0.41,-1.0,688.67,4,4,4,True
SPY,2025-12-12 11:50:00,MIDDAY (10:30-15:00),BUY,687.72,687.49,0.23,0.16,5.03,100,REVERSAL,0.78,0.39,687.9,1,1,1,False
SPY,2025-12-12 12:03:00,MIDDAY (10:30-15:00),BUY,687.8,687.61,0.19,0.13,17.79,100,REVERSAL,0.79,0.39,687.95,4,4,4,False
