orb_minutes,atr_multiplier,volume_pct,fvg_min_pct,profit_r,trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,sharpe,max_drawdown
15,3.0,1.0,0.001,2.5,77,0.4545,3248.28,-1383.56,1.956,55580.21,5.79,-0.0864
15,3.0,1.0,0.002,2.5,77,0.4545,3248.28,-1383.56,1.956,55580.21,5.79,-0.0864
15,3.0,1.0,0.003,2.5,77,0.4545,3248.28,-1383.56,1.956,55580.21,5.79,-0.0864
15,3.0,1.0,0.005,2.5,77,0.4545,3248.28,-1383.56,1.956,55580.21,5.79,-0.0864
20,3.0,1.0,0.003,2.5,76,0.4474,3168.68,-1332.23,1.925,51781.37,5.731,-0.0772
20,3.0,1.0,0.005,2.5,76,0.4474,3168.68,-1332.23,1.925,51781.37,5.731,-0.0772
20,3.0,1.0,0.001,2.5,77,0.4416,3153.04,-1324.03,1.883,50269.95,5.535,-0.0772
20,3.0,1.0,0.002,2.5,77,0.4416,3153.04,-1324.03,1.883,50269.95,5.535,-0.0772
20,3.0,1.25,0.003,3.0,66,0.4091,3775.51,-1329.7,1.966,50080.2,5.397,-0.0679
20,3.0,1.25,0.005,3.0,66,0.4091,3775.51,-1329.7,1.966,50080.2,5.397,-0.0679
15,3.0,1.25,0.001,3.0,71,0.4085,3884.93,-1384.88,1.937,54498.02,5.391,-0.0772
15,3.0,1.25,0.002,3.0,71,0.4085,3884.97,-1384.91,1.937,54498.04,5.391,-0.0772
15,3.0,1.25,0.003,3.0,71,0.4085,3884.97,-1384.92,1.937,54497.52,5.391,-0.0772
15,3.0,1.25,0.005,3.0,71,0.4085,3884.97,-1384.92,1.937,54497.52,5.391,-0.0772
20,3.0,1.25,0.001,3.0,67,0.403,3756.75,-1321.05,1.92,48590.22,5.214,-0.0679
20,3.0,1.25,0.002,3.0,67,0.403,3756.75,-1321.06,1.92,48589.71,5.214,-0.0679
10,3.0,1.25,0.003,3.0,73,0.3973,3840.67,-1362.63,1.858,51423.47,5.061,-0.0772
10,3.0,1.25,0.005,3.0,73,0.3973,3840.67,-1362.63,1.858,51423.47,5.061,-0.0772
10,3.0,1.25,0.002,3.0,73,0.3973,3840.67,-1362.64,1.858,51423.2,5.06,-0.0772
15,3.0,1.0,0.001,2.0,79,0.481,2495.28,-1323.59,1.747,40553.4,5.06,-0.0864
15,3.0,1.0,0.002,2.0,79,0.481,2495.28,-1323.59,1.747,40553.4,5.06,-0.0864
15,3.0,1.0,0.003,2.0,79,0.481,2495.28,-1323.59,1.747,40553.4,5.06,-0.0864
15,3.0,1.0,0.005,2.0,79,0.481,2495.28,-1323.59,1.747,40553.4,5.06,-0.0864
20,3.0,1.0,0.003,2.0,78,0.4744,2441.94,-1281.9,1.719,37794.0,4.898,-0.0772
20,3.0,1.0,0.005,2.0,78,0.4744,2441.94,-1281.9,1.719,37794.0,4.898,-0.0772
10,3.0,1.25,0.001,3.0,74,0.3919,3839.05,-1364.96,1.813,49909.0,4.883,-0.0772
15,3.0,1.0,0.001,3.0,75,0.4,3956.4,-1428.31,1.847,54418.02,4.825,-0.0864
15,3.0,1.0,0.002,3.0,75,0.4,3956.4,-1428.31,1.847,54418.02,4.825,-0.0864
15,3.0,1.0,0.003,3.0,75,0.4,3956.4,-1428.31,1.847,54418.02,4.825,-0.0864
15,3.0,1.0,0.005,3.0,75,0.4,3956.4,-1428.31,1.847,54418.02,4.825,-0.0864
20,3.0,1.0,0.003,3.0,73,0.3973,3863.41,-1377.52,1.848,51428.23,4.796,-0.0772
20,3.0,1.0,0.005,3.0,73,0.3973,3863.41,-1377.52,1.848,51428.23,4.796,-0.0772
